id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
20382969,34385521,René,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.521408,13.453777,Private room,0.000000,4,1,2,0
20671210,1210739,TRIO Apartment Hotel,Marzahn - Hellersdorf,Marzahn-Süd,52.518929,13.525894,Entire home/apt,0.000000,3,3,17,343
22739713,167202681,Raafat,Mitte,Moabit Ost,52.525639,13.367185,Private room,1.000000,1,87,1,5
2161434,8864348,Maria,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.513226,13.438203,Private room,8.000000,15,1,1,0
21911198,159867873,Dhia,Steglitz - Zehlendorf,Albrechtstr.,52.460239,13.333190,Shared room,8.000000,1,10,1,0
24452824,80898392,Paolo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.505836,13.395250,Private room,8.000000,1,35,4,0
265402,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510643,13.445674,Shared room,9.000000,1,10,14,276
265416,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.509991,13.446542,Shared room,9.000000,1,58,14,319
265444,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510445,13.445327,Shared room,9.000000,1,73,14,314
2382613,6417948,Rex,Steglitz - Zehlendorf,Teltower Damm,52.420811,13.233494,Private room,9.000000,54,5,1,0
3108686,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.509525,13.446431,Shared room,9.000000,1,20,14,312
3109139,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510437,13.446958,Shared room,9.000000,1,44,14,310
10961123,56855980,Ann,Mitte,Brunnenstr. Nord,52.550385,13.384695,Private room,9.000000,7,1,1,0
17281529,62517389,Paul,Pankow,Prenzlauer Berg Südwest,52.537506,13.413592,Entire home/apt,9.000000,95,26,1,0
28665983,20779009,Seli,Mitte,Brunnenstr. Nord,52.544998,13.371609,Private room,9.000000,3,3,1,8
28996273,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.494949,13.382766,Shared room,9.000000,7,2,2,148
29045424,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.496559,13.380969,Shared room,9.000000,3,1,2,144
5350595,12646731,Rita,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.516407,13.467660,Private room,10.000000,1,0,1,0
9160334,47684936,Louise,Pankow,Helmholtzplatz,52.543728,13.418942,Entire home/apt,10.000000,1,0,1,0
9964785,14943212,Hajo,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.515079,13.436863,Private room,10.000000,1,1,1,0
11474059,60371337,Patrick,Neukölln,Rixdorf,52.478394,13.448208,Private room,10.000000,1,1,1,0
13269263,74752664,Maru,Mitte,Parkviertel,52.547592,13.350430,Shared room,10.000000,2,6,1,0
16184180,105678463,Galo,Steglitz - Zehlendorf,Lankwitz,52.436615,13.345710,Private room,10.000000,14,0,1,0
17245968,88250254,Hannes,Mitte,Alexanderplatz,52.523098,13.393157,Private room,10.000000,10,0,1,0
